iter	Logloss
0	0.6927456939
1	0.6923651516
2	0.6920059407
3	0.6916756786
4	0.6913557718
5	0.6910596386
6	0.6907723054
7	0.6904772599
8	0.6901694613
9	0.6898778167
10	0.6896175984
11	0.6893626753
12	0.6891262665
13	0.6888870133
14	0.6886605998
15	0.6884495905
16	0.6882582868
17	0.6880695014
18	0.6878971313
19	0.6877388735
20	0.687592801
21	0.6874293293
22	0.6872771534
23	0.6871447886
24	0.6870108311
25	0.6868842314
26	0.6867516479
27	0.6866292095
28	0.6865076905
29	0.6863855192
30	0.6862895674
31	0.6861776117
32	0.6860895931
33	0.6859947711
34	0.6858989593
35	0.6858024122
36	0.685708158
37	0.685641369
38	0.6855563564
39	0.6854891159
40	0.685415967
41	0.6853546292
42	0.685292694
43	0.6852210028
44	0.6851562869
45	0.6850876753
46	0.6850279996
47	0.68497212
48	0.6849266823
49	0.6848654241
50	0.684816592
51	0.6847667931
52	0.6847127072
53	0.6846670789
54	0.6846216993
55	0.6845800133
56	0.6845471666
57	0.6845106714
58	0.6844589926
59	0.6844228577
60	0.6843860633
61	0.6843492776
62	0.6843166503
63	0.6842856981
64	0.684257024
65	0.6842280058
66	0.684178512
67	0.6841494782
68	0.6841212385
69	0.6840958387
70	0.6840691716
71	0.6840431243
72	0.6840162875
73	0.6839905827
74	0.6839443413
75	0.6839073432
76	0.683889003
77	0.6838645803
78	0.6838421654
79	0.6838209894
80	0.6837906675
81	0.6837685551
82	0.683752211
83	0.6837216801
84	0.6836840357
85	0.683667893
86	0.683638453
87	0.6836208789
88	0.6836066351
89	0.6835923668
90	0.6835746843
91	0.6835593528
92	0.6835430793
93	0.6835275395
94	0.6834889383
