iter	Passed	Remaining
0	1345	1344087
1	2771	1383111
2	3779	1256162
3	5107	1271832
4	6445	1282572
5	7744	1282995
6	9074	1287245
7	10524	1305042
8	11754	1294288
9	12925	1279640
10	13992	1258081
11	15159	1248105
12	16328	1239702
13	17633	1241893
14	18769	1232547
15	19600	1205409
16	20761	1200481
17	21819	1190359
18	23070	1191160
19	24383	1194815
20	25624	1194610
21	26841	1193205
22	27920	1186006
23	29135	1184849
24	30286	1181169
25	31233	1170042
26	32435	1168871
27	33409	1159784
28	34549	1156805
29	35667	1153248
30	37034	1157622
31	38221	1156194
32	39555	1159101
33	40764	1158184
34	42140	1161861
35	43271	1158718
36	44376	1154978
37	45594	1154256
38	46799	1153188
39	48056	1153356
40	49513	1158126
41	50786	1158409
42	52329	1164633
43	53520	1162861
44	54694	1160737
45	55674	1154649
46	56697	1149622
47	57678	1143961
48	58770	1140622
49	59984	1139705
50	61082	1136614
51	62347	1136641
52	63308	1131183
53	64530	1130481
54	66043	1134749
55	67260	1133825
56	68292	1129813
57	69559	1129749
58	70596	1125960
59	72029	1128466
60	73416	1130132
61	74776	1131294
62	76064	1131302
63	77139	1128169
64	78487	1129013
65	79598	1126441
66	80631	1122824
67	81848	1121805
68	83157	1122024
69	84365	1120861
70	85649	1120680
71	86884	1119841
72	87897	1116175
73	88985	1113519
74	90026	1110328
75	91277	1109745
76	92384	1107415
77	93852	1109383
78	94751	1104636
79	95924	1103134
80	96974	1100242
81	98319	1100700
82	99366	1097823
83	100798	1099185
84	101782	1095657
85	103177	1096557
86	104210	1093609
87	105168	1089931
88	106311	1088200
89	107404	1085978
90	108699	1085803
91	109705	1082744
92	110944	1082005
93	111893	1078460
94	112983	1076319
