진행중 시설공사: 2233건 | 처리 대상: 2217건
100/2217 | 업데이트: 90건 | 스킵: 10건 | 실패: 0건
150/2217 | 업데이트: 127건 | 스킵: 23건 | 실패: 0건
200/2217 | 업데이트: 171건 | 스킵: 29건 | 실패: 0건
250/2217 | 업데이트: 214건 | 스킵: 36건 | 실패: 0건
300/2217 | 업데이트: 257건 | 스킵: 43건 | 실패: 0건
350/2217 | 업데이트: 296건 | 스킵: 54건 | 실패: 0건
400/2217 | 업데이트: 337건 | 스킵: 63건 | 실패: 0건
450/2217 | 업데이트: 378건 | 스킵: 72건 | 실패: 0건
500/2217 | 업데이트: 423건 | 스킵: 77건 | 실패: 0건
550/2217 | 업데이트: 466건 | 스킵: 84건 | 실패: 0건
600/2217 | 업데이트: 504건 | 스킵: 96건 | 실패: 0건
650/2217 | 업데이트: 549건 | 스킵: 101건 | 실패: 0건
700/2217 | 업데이트: 588건 | 스킵: 112건 | 실패: 0건
800/2217 | 업데이트: 670건 | 스킵: 130건 | 실패: 0건
850/2217 | 업데이트: 716건 | 스킵: 134건 | 실패: 0건
900/2217 | 업데이트: 760건 | 스킵: 140건 | 실패: 0건
950/2217 | 업데이트: 805건 | 스킵: 145건 | 실패: 0건
1050/2217 | 업데이트: 888건 | 스킵: 162건 | 실패: 0건
1100/2217 | 업데이트: 924건 | 스킵: 176건 | 실패: 0건
1150/2217 | 업데이트: 970건 | 스킵: 180건 | 실패: 0건
1250/2217 | 업데이트: 1054건 | 스킵: 196건 | 실패: 0건
1300/2217 | 업데이트: 1099건 | 스킵: 201건 | 실패: 0건
1350/2217 | 업데이트: 1142건 | 스킵: 208건 | 실패: 0건
1400/2217 | 업데이트: 1182건 | 스킵: 218건 | 실패: 0건
1500/2217 | 업데이트: 1265건 | 스킵: 235건 | 실패: 0건
1550/2217 | 업데이트: 1300건 | 스킵: 250건 | 실패: 0건
1600/2217 | 업데이트: 1343건 | 스킵: 257건 | 실패: 0건
1700/2217 | 업데이트: 1430건 | 스킵: 270건 | 실패: 0건
1750/2217 | 업데이트: 1475건 | 스킵: 275건 | 실패: 0건
1800/2217 | 업데이트: 1516건 | 스킵: 284건 | 실패: 0건
1850/2217 | 업데이트: 1556건 | 스킵: 294건 | 실패: 0건
1900/2217 | 업데이트: 1600건 | 스킵: 300건 | 실패: 0건
1950/2217 | 업데이트: 1641건 | 스킵: 309건 | 실패: 0건
2000/2217 | 업데이트: 1682건 | 스킵: 318건 | 실패: 0건
2100/2217 | 업데이트: 1761건 | 스킵: 339건 | 실패: 0건
2150/2217 | 업데이트: 1800건 | 스킵: 350건 | 실패: 0건
2200/2217 | 업데이트: 1844건 | 스킵: 356건 | 실패: 0건

완료: 1861건 업데이트 / 356건 스킵(데이터없음) / 0건 실패
