진행중 공사 공고: 8654건 | 처리 대상: 8654건
1100/8654 | 업데이트: 26건 | 스킵: 1074건 | 실패: 0건
1200/8654 | 업데이트: 51건 | 스킵: 1149건 | 실패: 0건
1250/8654 | 업데이트: 95건 | 스킵: 1155건 | 실패: 0건
1300/8654 | 업데이트: 119건 | 스킵: 1181건 | 실패: 0건
1350/8654 | 업데이트: 166건 | 스킵: 1184건 | 실패: 0건
1400/8654 | 업데이트: 168건 | 스킵: 1232건 | 실패: 0건
2300/8654 | 업데이트: 202건 | 스킵: 2098건 | 실패: 0건
2350/8654 | 업데이트: 244건 | 스킵: 2106건 | 실패: 0건
2400/8654 | 업데이트: 281건 | 스킵: 2119건 | 실패: 0건
2650/8654 | 업데이트: 336건 | 스킵: 2314건 | 실패: 0건
2700/8654 | 업데이트: 343건 | 스킵: 2357건 | 실패: 0건
2750/8654 | 업데이트: 371건 | 스킵: 2379건 | 실패: 0건
3250/8654 | 업데이트: 467건 | 스킵: 2783건 | 실패: 0건
3550/8654 | 업데이트: 533건 | 스킵: 3017건 | 실패: 0건
3650/8654 | 업데이트: 587건 | 스킵: 3063건 | 실패: 0건
3700/8654 | 업데이트: 626건 | 스킵: 3074건 | 실패: 0건
3750/8654 | 업데이트: 660건 | 스킵: 3090건 | 실패: 0건
3800/8654 | 업데이트: 693건 | 스킵: 3107건 | 실패: 0건
3850/8654 | 업데이트: 736건 | 스킵: 3114건 | 실패: 0건
4000/8654 | 업데이트: 837건 | 스킵: 3163건 | 실패: 0건
4400/8654 | 업데이트: 961건 | 스킵: 3439건 | 실패: 0건
4450/8654 | 업데이트: 997건 | 스킵: 3453건 | 실패: 0건
4700/8654 | 업데이트: 1062건 | 스킵: 3638건 | 실패: 0건
4800/8654 | 업데이트: 1086건 | 스킵: 3714건 | 실패: 0건
4850/8654 | 업데이트: 1130건 | 스킵: 3720건 | 실패: 0건
4900/8654 | 업데이트: 1164건 | 스킵: 3736건 | 실패: 0건
4950/8654 | 업데이트: 1193건 | 스킵: 3757건 | 실패: 0건
5000/8654 | 업데이트: 1220건 | 스킵: 3780건 | 실패: 0건
5050/8654 | 업데이트: 1259건 | 스킵: 3791건 | 실패: 0건
5100/8654 | 업데이트: 1298건 | 스킵: 3802건 | 실패: 0건
5150/8654 | 업데이트: 1342건 | 스킵: 3808건 | 실패: 0건
5200/8654 | 업데이트: 1384건 | 스킵: 3816건 | 실패: 0건
5300/8654 | 업데이트: 1461건 | 스킵: 3839건 | 실패: 0건
5550/8654 | 업데이트: 1499건 | 스킵: 4051건 | 실패: 0건
5650/8654 | 업데이트: 1575건 | 스킵: 4075건 | 실패: 0건
5700/8654 | 업데이트: 1603건 | 스킵: 4097건 | 실패: 0건
5750/8654 | 업데이트: 1625건 | 스킵: 4125건 | 실패: 0건
6200/8654 | 업데이트: 1737건 | 스킵: 4463건 | 실패: 0건
6250/8654 | 업데이트: 1782건 | 스킵: 4468건 | 실패: 0건
6300/8654 | 업데이트: 1825건 | 스킵: 4475건 | 실패: 0건
6350/8654 | 업데이트: 1867건 | 스킵: 4483건 | 실패: 0건
6550/8654 | 업데이트: 1960건 | 스킵: 4590건 | 실패: 0건
7200/8654 | 업데이트: 1990건 | 스킵: 5210건 | 실패: 0건
7250/8654 | 업데이트: 2030건 | 스킵: 5220건 | 실패: 0건
7350/8654 | 업데이트: 2104건 | 스킵: 5246건 | 실패: 0건
7400/8654 | 업데이트: 2144건 | 스킵: 5256건 | 실패: 0건
7450/8654 | 업데이트: 2186건 | 스킵: 5264건 | 실패: 0건
7500/8654 | 업데이트: 2210건 | 스킵: 5290건 | 실패: 0건
7600/8654 | 업데이트: 2276건 | 스킵: 5324건 | 실패: 0건
7900/8654 | 업데이트: 2339건 | 스킵: 5561건 | 실패: 0건
7950/8654 | 업데이트: 2383건 | 스킵: 5567건 | 실패: 0건
8000/8654 | 업데이트: 2422건 | 스킵: 5578건 | 실패: 0건
8050/8654 | 업데이트: 2465건 | 스킵: 5585건 | 실패: 0건
8100/8654 | 업데이트: 2507건 | 스킵: 5593건 | 실패: 0건
8150/8654 | 업데이트: 2528건 | 스킵: 5622건 | 실패: 0건
8250/8654 | 업데이트: 2598건 | 스킵: 5652건 | 실패: 0건
8500/8654 | 업데이트: 2616건 | 스킵: 5884건 | 실패: 0건
8550/8654 | 업데이트: 2660건 | 스킵: 5890건 | 실패: 0건
8600/8654 | 업데이트: 2704건 | 스킵: 5896건 | 실패: 0건
8650/8654 | 업데이트: 2744건 | 스킵: 5906건 | 실패: 0건

완료: 2748건 업데이트 / 5906건 스킵(데이터없음) / 0건 실패
